t_start_file ,t_filter, x, y, z, r, p, y, u, v, h, rRate, pRate, yRate, cx, cx, bx, by, bz, t_real, x_real, y_real, z_real, r_real, p_real, y_real, u_real, v_real, h_real, rRate_real, pRate_real, yRate_real, t_motor,hp, hs
1594377506.212305,1594377506.105186,44.393068,8.945132,0.436228,0.000000,0.000000,0.967669,1.000093,0.000000,0.000000,0.000000,0.000000,0.007098,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.082499,44.393068,8.945132,0.000000,0.000000,0.000000,0.968380,1.000068,0.000000,0.000000,0.000000,0.000000,0.007136,1594377506.015635,20.703859,19.085860
1594377506.312226,1594377506.193535,44.393068,8.945133,0.436210,0.000000,0.000000,0.968380,1.000068,0.000000,0.000000,0.000000,0.000000,0.007136,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.182359,44.393068,8.945133,0.000000,0.000000,0.000000,0.969094,1.000045,0.000000,0.000000,0.000000,0.000000,0.007171,1594377506.116040,20.701652,19.093403
1594377506.412318,1594377506.293570,44.393069,8.945134,0.436192,0.000000,0.000000,0.969094,1.000045,0.000000,0.000000,0.000000,0.000000,0.007171,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.282601,44.393069,8.945135,0.000000,0.000000,0.000000,0.969815,1.000025,0.000000,0.000000,0.000000,0.000000,0.007204,1594377506.217003,20.704981,19.094363
1594377506.512319,1594377506.393500,44.393069,8.945136,0.436174,0.000000,0.000000,0.969815,1.000025,0.000000,0.000000,0.000000,0.000000,0.007204,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.382474,44.393069,8.945136,0.000000,0.000000,0.000000,0.970536,1.000007,0.000000,0.000000,0.000000,0.000000,0.007235,1594377506.317547,20.707650,19.095583
1594377506.613526,1594377506.497193,44.393070,8.945137,0.436155,0.000000,0.000000,0.970536,1.000007,0.000000,0.000000,0.000000,0.000000,0.007235,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.482387,44.393070,8.945137,0.000000,0.000000,0.000000,0.971261,0.999991,0.000000,0.000000,0.000000,0.000000,0.007264,1594377506.418558,20.710330,19.096481
1594377506.712269,1594377506.593478,44.393070,8.945138,0.436137,0.000000,0.000000,0.971261,0.999991,0.000000,0.000000,0.000000,0.000000,0.007264,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.582405,44.393070,8.945138,0.000000,0.000000,0.000000,0.971989,0.999977,0.000000,0.000000,0.000000,0.000000,0.007292,1594377506.519236,20.712727,19.097406
1594377506.812099,1594377506.693827,44.393071,8.945139,0.436119,0.000000,0.000000,0.971989,0.999977,0.000000,0.000000,0.000000,0.000000,0.007292,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.682358,44.393071,8.945139,0.000000,0.000000,0.000000,0.972719,0.999964,0.000000,0.000000,0.000000,0.000000,0.007319,1594377506.619763,20.714857,19.098349
1594377506.912193,1594377506.793549,44.393071,8.945140,0.436101,0.000000,0.000000,0.972719,0.999964,0.000000,0.000000,0.000000,0.000000,0.007319,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.782326,44.393071,8.945140,0.000000,0.000000,0.000000,0.973452,0.999954,0.000000,0.000000,0.000000,0.000000,0.007344,1594377506.720912,20.717007,19.099015
1594377507.012500,1594377506.893850,44.393072,8.945141,0.436083,0.000000,0.000000,0.973452,0.999954,0.000000,0.000000,0.000000,0.000000,0.007344,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.882394,44.393072,8.945141,0.000000,0.000000,0.000000,0.974188,0.999944,0.000000,0.000000,0.000000,0.000000,0.007368,1594377506.821523,20.719041,19.099577
1594377507.112634,1594377506.997461,44.393072,8.945142,0.436065,0.000000,0.000000,0.974188,0.999944,0.000000,0.000000,0.000000,0.000000,0.007368,0.000000,0.000000,0.000000,0.000000,0.000000,1594377506.982503,44.393072,8.945142,0.000000,0.000000,0.000000,0.974927,0.999936,0.000000,0.000000,0.000000,0.000000,0.007391,1594377506.925710,20.720620,19.100413
1594377507.212173,1594377507.096097,44.393073,8.945143,0.436047,0.000000,0.000000,0.974927,0.999936,0.000000,0.000000,0.000000,0.000000,0.007391,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.082350,44.393073,8.945143,0.000000,0.000000,0.000000,0.975666,0.999930,0.000000,0.000000,0.000000,0.000000,0.007412,1594377507.028499,20.722270,19.100966
1594377507.312157,1594377507.194695,44.393073,8.945144,0.436029,0.000000,0.000000,0.975666,0.999930,0.000000,0.000000,0.000000,0.000000,0.007412,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.182497,44.393073,8.945144,0.000000,0.000000,0.000000,0.976410,0.999924,0.000000,0.000000,0.000000,0.000000,0.007433,1594377507.129095,20.723663,19.101610
1594377507.412258,1594377507.294186,44.393074,8.945145,0.436011,0.000000,0.000000,0.976410,0.999924,0.000000,0.000000,0.000000,0.000000,0.007433,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.282342,44.393074,8.945145,0.000000,0.000000,0.000000,0.977153,0.999919,0.000000,0.000000,0.000000,0.000000,0.007452,1594377507.229927,20.724858,19.102322
1594377507.512275,1594377507.393715,44.393074,8.945146,0.435993,0.000000,0.000000,0.977153,0.999919,0.000000,0.000000,0.000000,0.000000,0.007452,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.382348,44.393074,8.945146,0.000000,0.000000,0.000000,0.977899,0.999916,0.000000,0.000000,0.000000,0.000000,0.007470,1594377507.330378,20.726127,19.102768
1594377507.612375,1594377507.494585,44.393075,8.945147,0.435975,0.000000,0.000000,0.977899,0.999916,0.000000,0.000000,0.000000,0.000000,0.007470,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.484236,44.393075,8.945147,0.000000,0.000000,0.000000,0.978661,0.999913,0.000000,0.000000,0.000000,0.000000,0.007488,1594377507.430922,20.726873,19.103629
1594377507.712322,1594377507.596623,44.393075,8.945148,0.435957,0.000000,0.000000,0.978661,0.999913,0.000000,0.000000,0.000000,0.000000,0.007488,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.582441,44.393075,8.945148,0.000000,0.000000,0.000000,0.979398,0.999911,0.000000,0.000000,0.000000,0.000000,0.007504,1594377507.531435,20.727650,19.104306
1594377507.812473,1594377507.698903,44.393076,8.945149,0.435939,0.000000,0.000000,0.979398,0.999911,0.000000,0.000000,0.000000,0.000000,0.007504,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.682679,44.393076,8.945149,0.000000,0.000000,0.000000,0.980151,0.999909,0.000000,0.000000,0.000000,0.000000,0.007519,1594377507.632007,20.728306,19.104971
1594377507.912234,1594377507.795887,44.393076,8.945150,0.435922,0.000000,0.000000,0.980151,0.999909,0.000000,0.000000,0.000000,0.000000,0.007519,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.782739,44.393076,8.945150,0.000000,0.000000,0.000000,0.980904,0.999908,0.000000,0.000000,0.000000,0.000000,0.007533,1594377507.732506,20.728763,19.105732
1594377508.012902,1594377507.893433,44.393077,8.945151,0.435904,0.000000,0.000000,0.980904,0.999908,0.000000,0.000000,0.000000,0.000000,0.007533,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.882788,44.393077,8.945151,0.000000,0.000000,0.000000,0.981658,0.999908,0.000000,0.000000,0.000000,0.000000,0.007546,1594377507.833078,20.729388,19.106182
1594377508.113891,1594377507.996084,44.393077,8.945152,0.435886,0.000000,0.000000,0.981658,0.999908,0.000000,0.000000,0.000000,0.000000,0.007546,0.000000,0.000000,0.000000,0.000000,0.000000,1594377507.982346,44.393077,8.945152,0.000000,0.000000,0.000000,0.982410,0.999908,0.000000,0.000000,0.000000,0.000000,0.007558,1594377507.933609,20.729636,19.106938
1594377508.212419,1594377508.097410,44.393078,8.945153,0.435868,0.000000,0.000000,0.982410,0.999908,0.000000,0.000000,0.000000,0.000000,0.007558,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.082288,44.393078,8.945153,0.000000,0.000000,0.000000,0.983166,0.999909,0.000000,0.000000,0.000000,0.000000,0.007569,1594377508.033971,20.729980,19.107471
1594377508.312182,1594377508.195056,44.393078,8.945154,0.435850,0.000000,0.000000,0.983166,0.999909,0.000000,0.000000,0.000000,0.000000,0.007569,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.182374,44.393078,8.945154,0.000000,0.000000,0.000000,0.983924,0.999910,0.000000,0.000000,0.000000,0.000000,0.007579,1594377508.134376,20.730024,19.108234
1594377508.412269,1594377508.294704,44.393079,8.945155,0.435833,0.000000,0.000000,0.983924,0.999910,0.000000,0.000000,0.000000,0.000000,0.007579,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.282687,44.393079,8.945155,0.000000,0.000000,0.000000,0.984685,0.999911,0.000000,0.000000,0.000000,0.000000,0.007589,1594377508.234838,20.730299,19.108662
1594377508.512752,1594377508.401047,44.393079,8.945156,0.435815,0.000000,0.000000,0.984685,0.999911,0.000000,0.000000,0.000000,0.000000,0.007589,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.382451,44.393079,8.945156,0.000000,0.000000,0.000000,0.985443,0.999913,0.000000,0.000000,0.000000,0.000000,0.007598,1594377508.335499,20.730355,19.109245
1594377508.612214,1594377508.496836,44.393080,8.945157,0.435797,0.000000,0.000000,0.985443,0.999913,0.000000,0.000000,0.000000,0.000000,0.007598,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.482739,44.393080,8.945157,0.000000,0.000000,0.000000,0.986205,0.999915,0.000000,0.000000,0.000000,0.000000,0.007606,1594377508.435965,20.730292,19.109882
1594377508.712369,1594377508.593739,44.393080,8.945158,0.435780,0.000000,0.000000,0.986205,0.999915,0.000000,0.000000,0.000000,0.000000,0.007606,0.000000,0.000000,0.000000,0.000000,0.000000,1594377508.582375,44.393080,8.945158,0.000000,0.000000,0.000000,0.986963,0.999917,0.000000,0.000000,0.000000,0.000000,0.007613,1594377508.540889,20.730030,19.110659
