time,orthogonalstrength_x,orthogonalstrength_y,orthogonalstrength_z
1567977322.931343,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.031356,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.1311948,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.231139,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.331148,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.4311683,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.5311458,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.6312127,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.7312305,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.8311493,23463999999.999996,-1050999999.9999999,39746000000.0
1567977323.931269,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.031241,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.1312604,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.231288,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.3313408,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.4313557,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.5311544,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.631178,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.7312634,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.8313503,23463999999.999996,-1050999999.9999999,39746000000.0
1567977324.931139,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.0311508,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.1313007,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.2311985,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.3311677,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.4311068,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.5312119,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.631125,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.7311568,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.8312643,23463999999.999996,-1050999999.9999999,39746000000.0
1567977325.9311936,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.0311365,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.1312318,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.2311814,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.3313067,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.4312704,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.5311143,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.6312888,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.731275,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.8311357,23463999999.999996,-1050999999.9999999,39746000000.0
1567977326.9311852,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.03122,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.1312265,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.231343,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.33124,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.4313061,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.531348,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.6313455,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.731188,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.831267,23463999999.999996,-1050999999.9999999,39746000000.0
1567977327.9312634,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.031313,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.131129,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.2312706,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.3311357,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.4312007,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.5312247,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.6312613,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.7312574,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.8313544,23463999999.999996,-1050999999.9999999,39746000000.0
1567977328.9311528,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.0311234,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.131149,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.231268,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.3311925,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.4312298,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.5311096,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.6313257,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.7312922,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.8311863,23463999999.999996,-1050999999.9999999,39746000000.0
1567977329.9311757,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.0311852,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.1312776,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.2313561,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.3312194,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.4313073,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.607827,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.631143,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.7311363,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.831146,23463999999.999996,-1050999999.9999999,39746000000.0
1567977330.9312084,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.0311155,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.131135,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.2311184,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.3312602,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.431225,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.5312352,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.6312363,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.7312686,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.8313258,23463999999.999996,-1050999999.9999999,39746000000.0
1567977331.9312894,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.0311086,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.1311157,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.2311733,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.331235,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.4311748,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.5311356,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.631349,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.7311366,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.8312614,23463999999.999996,-1050999999.9999999,39746000000.0
1567977332.931105,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.0312707,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.1312175,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.231265,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.331343,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.4311068,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.5312216,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.6311262,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.7313893,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.8312683,23463999999.999996,-1050999999.9999999,39746000000.0
1567977333.9312134,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.0313327,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.1311011,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.2311475,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.331252,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.4312088,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.5312717,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.63132,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.731157,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.831111,23463999999.999996,-1050999999.9999999,39746000000.0
1567977334.9312162,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.031191,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.131157,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.231321,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.3311083,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.4313154,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.5312884,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.631235,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.7311466,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.831128,23463999999.999996,-1050999999.9999999,39746000000.0
1567977335.9311724,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.031239,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.1311204,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.2312956,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.3311908,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.4311972,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.5311058,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.63132,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.731324,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.8311317,23463999999.999996,-1050999999.9999999,39746000000.0
1567977336.9311643,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.0311298,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.131116,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.2311795,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.331129,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.4313035,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.5311801,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.6313016,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.7312565,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.831122,23463999999.999996,-1050999999.9999999,39746000000.0
1567977337.931173,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.0312471,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.131142,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.2312758,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.331349,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.431325,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.5311365,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.631237,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.7311134,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.831108,23463999999.999996,-1050999999.9999999,39746000000.0
1567977338.9311318,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.031122,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.1312864,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.2311442,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.3313277,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.4313338,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.5312593,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.6311865,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.7312465,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.8312342,23463999999.999996,-1050999999.9999999,39746000000.0
1567977339.9313135,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.0312436,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.131136,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.2312758,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.3311296,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.4311543,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.531102,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.631347,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.731147,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.8311696,23463999999.999996,-1050999999.9999999,39746000000.0
1567977340.9311872,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.031234,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.1311119,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.231191,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.331118,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.4311368,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.5311224,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.6313162,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.7312164,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.8311126,23463999999.999996,-1050999999.9999999,39746000000.0
1567977341.9311895,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.0311933,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.13128,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.2311423,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.331108,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.4313273,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.5312355,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.6313045,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.731154,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.831206,23463999999.999996,-1050999999.9999999,39746000000.0
1567977342.9313388,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.031185,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.1311862,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.2311094,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.3311014,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.4311426,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.531206,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.6311922,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.7311077,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.8312452,23463999999.999996,-1050999999.9999999,39746000000.0
1567977343.9311886,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.031158,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.131102,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.2312129,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.331189,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.4311795,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.5313075,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.6311853,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.7312033,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.831364,23463999999.999996,-1050999999.9999999,39746000000.0
1567977344.9312935,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.0312133,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.1311934,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.2311823,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.3313346,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.4311442,23463999999.999996,-1050999999.9999999,39746000000.0
1567977345.5311928,23463999999.999996,-1050999999.9999999,39746000000.0
