time,latitude,longitude,vehicle_heading,vehicle_speed,vehicle_state,vehicle_track,llc_status
1567977314.8472002,44.3928331906215,8.944045027103453,4.291577872282442,2.3989338092802153,LatLong Move,4.290668616237717,0
1567977314.9459028,44.39283230885218,8.944042280867636,4.29113666531325,2.3977815508675895,LatLong Move,4.290214681419,0
1567977315.0465927,44.392831424532446,8.944039530090729,4.290667398537083,2.397558780471888,LatLong Move,4.28991731814777,0
1567977315.1482286,44.39283054055148,8.944036783777177,4.290213520248852,2.397448653046829,LatLong Move,4.28955640344941,0
1567977315.2462666,44.3928296568908,8.944034041305589,4.2899169704881555,2.3969847735517447,LatLong Move,4.28905679876412,0
1567977315.3461602,44.39282877241604,8.944031298533961,4.289555797750538,2.3963700356297437,LatLong Move,4.288546389797711,0
1567977315.44634,44.392827886610064,8.944028554812569,4.289055035089644,2.3955843787993403,LatLong Move,4.2880678217490775,0
1567977315.5461206,44.39282699996709,8.94402581228202,4.2885457556524695,2.3945479746682934,LatLong Move,4.2875887390797,0
1567977315.6464534,44.3928261122282,8.944023069976895,4.288066591422474,2.3927779810374856,LatLong Move,4.287003424803693,0
1567977315.7460334,44.39282522479287,8.944020332088286,4.287587328263017,2.390580097317835,LatLong Move,4.286408592714196,0
1567977315.8465493,44.39282433609786,8.944017594133172,4.287001807088611,2.388485093686985,LatLong Move,4.285917393554207,0
1567977315.946008,44.3928234471249,8.944014859706948,4.286407500262303,2.3865424662350656,LatLong Move,4.285475640406522,0
1567977316.046411,44.39282255743206,8.944012127054549,4.285916216245575,2.384730606681622,LatLong Move,4.2850225200180745,0
1567977316.1463304,44.392821667645364,8.944009397445212,4.28547450330014,2.3830966455339553,LatLong Move,4.284559674082725,0
1567977316.246993,44.3928207804007,8.944006678840001,4.28502179588051,2.3819847894701427,LatLong Move,4.284162686680991,0
1567977316.347659,44.39281989073774,8.944003956141355,4.284558826043655,2.3813563060235743,LatLong Move,4.283805019273718,0
1567977316.4460342,44.392818999599,8.94400123207805,4.284161987013762,2.3807882167641767,LatLong Move,4.28338616705839,0
1567977316.546235,44.39281811033232,8.943998516414164,4.2838041902121695,2.3800807663519383,LatLong Move,4.282904258819947,0
1567977316.646353,44.392817217321095,8.943995792063403,4.28338494937206,2.379212391241099,LatLong Move,4.282409018775496,0
1567977316.7463145,44.39281632717628,8.943993079704732,4.282903498657728,2.3781520826202236,LatLong Move,4.281921160587224,0
1567977316.8462303,44.39281543448757,8.943990363130839,4.2824081661619005,2.3766597457476997,LatLong Move,4.281392925209552,0
1567977316.9462204,44.392814542352504,8.943987651764292,4.281920303047368,2.3746538979806235,LatLong Move,4.2808186829805805,0
1567977317.046372,44.39281364901313,8.943984940339792,4.281391975992888,2.372398556094644,LatLong Move,4.280266829960169,0
1567977317.1459794,44.39281275526011,8.943982231606519,4.280817163666768,2.3701565363729125,LatLong Move,4.279771646184123,0
1567977317.2461336,44.39281186129745,8.943979526294596,4.280265910258773,2.3680230536789106,LatLong Move,4.279306533034752,0
1567977317.345993,44.39281096705388,8.943976823858662,4.279770820289915,2.3660271064805705,LatLong Move,4.278840850988805,0
1567977317.4462721,44.392810073230834,8.943974126078821,4.27930533588286,2.3643461197846434,LatLong Move,4.278400189989441,0
1567977317.5462542,44.39280917675939,8.943971423600061,4.278839650543363,2.363098086729891,LatLong Move,4.278000093771794,0
1567977317.646372,44.39280828421667,8.94396873617861,4.278399533526009,2.362155014890083,LatLong Move,4.277601136076141,0
1567977317.7462332,44.392807388307475,8.943966041595257,4.277999419433227,2.3612693653234222,LatLong Move,4.277159074491156,0
1567977317.8466444,44.39280649412933,8.943963355002245,4.277600426915203,2.3602921919102826,LatLong Move,4.276679622458859,0
1567977317.9460866,44.39280559753116,8.943960664084724,4.277158281669557,2.359157843602526,LatLong Move,4.276187478169168,0
1567977318.0477815,44.39280470174939,8.943957978863816,4.276678779625129,2.357747327300559,LatLong Move,4.275676949999662,0
1567977318.1460521,44.392803804743416,8.943955293399805,4.27618661989753,2.355922621973677,LatLong Move,4.275131666543562,0
1567977318.2487826,44.39280290707189,8.943952609451324,4.275675599754791,2.353721642857076,LatLong Move,4.27457046022802,0
1567977318.3463814,44.392802009899306,8.94394993068142,4.275130140788962,2.35132433408676,LatLong Move,4.274032555204203,0
1567977318.446276,44.39280111297062,8.943947256512198,4.274569466398866,2.348931353925086,LatLong Move,4.273532177633712,0
